,Visit,Values,Arm
4431,0m,44.7683164820307,AZM
4453,0m,44.1263367073982,AZM
4452,0m,45.1485859692956,AZM
4451,0m,37.5723037302915,AZM
4450,0m,94.8922232028245,AZM
4449,0m,79.184212209622,AZM
4448,0m,32.5321568295885,AZM
4447,0m,34.3245117066474,AZM
4446,0m,49.1502202970127,AZM
4445,0m,35.2267325690224,AZM
4444,0m,95.3747188724622,AZM
4455,0m,40.2910426152609,AZM
4443,0m,45.8826949670257,AZM
4441,0m,19.810396822815,AZM
4440,0m,39.8210208717703,AZM
4439,0m,52.0684556719447,AZM
4438,0m,27.1118496762286,AZM
4437,0m,45.1767447180806,AZM
4436,0m,34.5606178272062,AZM
4435,0m,30.1795453303178,AZM
4434,0m,36.0823613012866,AZM
4433,0m,39.0448410165267,AZM
4432,0m,50.1800309792553,AZM
4442,0m,26.2236398178604,AZM
4303,0m,27.7954896818173,AZM
4302,0m,18.2223273765089,AZM
4301,0m,35.377180410614,AZM
4171,0m,35.4784540734521,AZM
4170,0m,50.0417738000119,AZM
4169,0m,29.7242072582364,AZM
4168,0m,96.2710426472224,AZM
4167,0m,48.9944404005005,AZM
4166,0m,31.9728626945769,AZM
4165,0m,26.7205672706155,AZM
4164,0m,44.6193717234382,AZM
4163,0m,52.8784469451608,AZM
4162,0m,26.7874965338332,AZM
4161,0m,46.5392822517928,AZM
4160,0m,33.9921714528384,AZM
4159,0m,37.3918271386414,AZM
4158,0m,36.7873838272854,AZM
4157,0m,36.7056322196316,AZM
4156,0m,47.643959901678,AZM
4155,0m,51.4809726114342,AZM
4154,0m,30.4567479139818,AZM
4153,0m,42.4498791347338,AZM
4152,0m,35.1360772035433,AZM
4151,0m,37.4671898646693,AZM
4172,0m,28.6706890298388,AZM
4173,0m,82.0156978202572,AZM
4174,0m,96.5768823215656,AZM
4175,0m,45.3724853569002,AZM
4197,0m,41.2829220488343,AZM
4196,0m,55.4903387057669,AZM
4195,0m,34.5611145182239,AZM
4194,0m,62.9613747863553,AZM
4193,0m,50.5422995934892,AZM
4192,0m,64.2613474674672,AZM
4191,0m,45.1875335883611,AZM
4190,0m,43.0990075957534,AZM
4189,0m,79.7100323196554,AZM
4188,0m,52.412175617756,AZM
4150,0m,33.8826883880364,AZM
4187,0m,67.0364922125031,AZM
4185,0m,35.9437600230236,AZM
4184,0m,37.9866746883518,AZM
4183,0m,28.6999980683876,AZM
4182,0m,44.9685423219394,AZM
4181,0m,64.8024603422306,AZM
4180,0m,34.5014636787828,AZM
4179,0m,39.3865112131186,AZM
4178,0m,43.6566199267821,AZM
4177,0m,50.8185700219678,AZM
4176,0m,45.4713818487974,AZM
4186,0m,53.9407163776263,AZM
4198,0m,55.1364098722678,AZM
4149,0m,32.8868652305832,AZM
4147,0m,37.6455320249878,AZM
4120,0m,33.1927673182554,AZM
4119,0m,27.6319669782494,AZM
4118,0m,35.9906884379273,AZM
4117,0m,33.7009923731568,AZM
4116,0m,37.9548855512202,AZM
4115,0m,68.4756782394363,AZM
4114,0m,51.1222438801068,AZM
4113,0m,28.8131343666234,AZM
4112,0m,51.0478618196857,AZM
4111,0m,47.0015099965677,AZM
4110,0m,30.6856831563731,AZM
4109,0m,63.514821298051,AZM
4108,0m,43.7862886432285,AZM
4107,0m,40.9639719296461,AZM
4106,0m,35.0766971993667,AZM
4105,0m,39.4181651056638,AZM
4104,0m,36.6173847506554,AZM
