,Visit,Values,Arm
0,0m,39.9417920272556,Placebo
4149,0m,56.7093485669837,Placebo
4148,0m,35.1356053846161,Placebo
4147,0m,58.0129186361997,Placebo
4146,0m,64.5376086476247,Placebo
4145,0m,53.9219884845352,Placebo
4144,0m,71.7042795794164,Placebo
4143,0m,49.5600237423171,Placebo
4142,0m,56.7086160153375,Placebo
4141,0m,66.9781854091398,Placebo
4150,0m,54.0104640367067,Placebo
4140,0m,58.2056619307848,Placebo
4138,0m,34.7704780560495,Placebo
4137,0m,50.9590203364815,Placebo
4136,0m,31.1539481053372,Placebo
4135,0m,28.0438641714653,Placebo
4134,0m,38.8737792025905,Placebo
4133,0m,64.8748961375261,Placebo
4132,0m,51.2932896277349,Placebo
4131,0m,34.8245304959091,Placebo
4130,0m,45.2369863241326,Placebo
4139,0m,51.1141568947626,Placebo
4129,0m,37.3051197487294,Placebo
4151,0m,42.055934384241,Placebo
4153,0m,43.9442596747353,Placebo
4173,0m,47.5222528750895,Placebo
4172,0m,35.7048928175915,Placebo
4171,0m,47.2043529043244,Placebo
4170,0m,37.287327155977,Placebo
4169,0m,46.6283639423,Placebo
4168,0m,58.8976553056852,Placebo
4167,0m,56.14041017478,Placebo
4166,0m,52.7407120331271,Placebo
4165,0m,37.7444093632302,Placebo
4152,0m,68.5657481407171,Placebo
4164,0m,66.180831553516,Placebo
4162,0m,38.6649192425453,Placebo
4161,0m,56.1434702229074,Placebo
4160,0m,47.7834300802576,Placebo
4159,0m,40.825675433038,Placebo
4158,0m,54.5865556855928,Placebo
4157,0m,55.7908835623525,Placebo
4156,0m,31.541046266693,Placebo
4155,0m,44.98425636639,Placebo
4154,0m,54.7623860887243,Placebo
4163,0m,48.0822063191323,Placebo
4128,0m,59.0471811131248,Placebo
4127,0m,29.87245822282,Placebo
4126,0m,50.0805404434219,Placebo
4100,0m,68.798027061255,Placebo
4099,0m,34.3862687676948,Placebo
4098,0m,51.5146018899013,Placebo
4097,0m,33.2790131598667,Placebo
4096,0m,50.2406608619747,Placebo
4095,0m,29.5586971558224,Placebo
4094,0m,32.9896091146445,Placebo
4093,0m,65.8667253106954,Placebo
4092,0m,44.8553384552008,Placebo
4101,0m,39.0562825749204,Placebo
4091,0m,46.4432364632693,Placebo
4089,0m,32.1185931349415,Placebo
4088,0m,52.0051790674819,Placebo
4087,0m,36.1704406526748,Placebo
4086,0m,43.7574645525126,Placebo
4085,0m,22.233101935005,Placebo
4084,0m,48.8930820990469,Placebo
4083,0m,80.2017767641914,Placebo
4082,0m,38.7442209119656,Placebo
4081,0m,50.2697317083259,Placebo
4090,0m,43.1539385131374,Placebo
4102,0m,48.1096984246754,Placebo
4103,0m,67.0949438475646,Placebo
4104,0m,39.7687626265451,Placebo
4125,0m,40.001686985868,Placebo
4124,0m,50.1572166356545,Placebo
4123,0m,38.8434941780901,Placebo
4122,0m,47.9917302234124,Placebo
4121,0m,39.8405659323407,Placebo
4120,0m,37.5096267239755,Placebo
4119,0m,38.0202039075749,Placebo
4118,0m,46.1559496904561,Placebo
4117,0m,59.4766883148082,Placebo
4116,0m,42.2710327565868,Placebo
4115,0m,33.1239431768884,Placebo
4114,0m,31.5788307705761,Placebo
4113,0m,39.7484992392426,Placebo
4112,0m,42.253636378522,Placebo
4111,0m,65.4736336937903,Placebo
4110,0m,63.9158273845946,Placebo
4109,0m,37.6747591360726,Placebo
4108,0m,34.7326757835717,Placebo
4107,0m,43.5560632188466,Placebo
4106,0m,37.2268662242842,Placebo
4105,0m,51.8893333851913,Placebo
4174,0m,42.6382063835169,Placebo
4080,0m,47.4672775103335,Placebo
4175,0m,52.4431762590723,Placebo
4177,0m,64.362051820235,Placebo
4246,0m,21.3288860128964,Placebo
4245,0m,36.0587846514808,Placebo
4244,0m,24.1334519256438,Placebo
4243,0m,47.1400374949589,Placebo
4242,0m,39.5116999703758,Placebo
4241,0m,43.5205240131067,Placebo
4240,0m,73.2493484999115,Placebo
4239,0m,51.1026520029043,Placebo
4238,0m,38.7699664036439,Placebo
4247,0m,55.713529588564,Placebo
4237,0m,51.9965711637713,Placebo
4235,0m,48.5253616353986,Placebo
4234,0m,30.7289755120241,Placebo
4233,0m,81.0433819554903,Placebo
4232,0m,52.0360202006965,Placebo
4231,0m,47.0673064556561,Placebo
4230,0m,35.3330869173003,Placebo
4229,0m,41.1399649422491,Placebo
4228,0m,44.3897217050334,Placebo
4227,0m,31.5649168454403,Placebo
4236,0m,38.8733585197258,Placebo
4226,0m,44.9261617621154,Placebo
4248,0m,41.472359164663,Placebo
4250,0m,22.1322723669664,Placebo
4270,0m,33.2675547472675,Placebo
4269,0m,49.2903718055096,Placebo
4268,0m,50.702630867344,Placebo
4267,0m,46.2781710212708,Placebo
4266,0m,35.3030468393448,Placebo
4265,0m,52.2851556739911,Placebo
4264,0m,75.2199321877827,Placebo
4263,0m,28.779396159079,Placebo
4262,0m,46.6492021393449,Placebo
4249,0m,84.7616943293115,Placebo
4261,0m,48.1446091023793,Placebo
4259,0m,84.2818482822168,Placebo
4258,0m,39.9291376836381,Placebo
4257,0m,81.8974759591805,Placebo
4256,0m,36.3436670973026,Placebo
4255,0m,49.2119694067041,Placebo
4254,0m,42.6532307438425,Placebo
4253,0m,30.4612508620556,Placebo
4252,0m,48.8557469042458,Placebo
4251,0m,34.1409006432583,Placebo
4260,0m,37.5068677637769,Placebo
4225,0m,45.9991868709886,Placebo
4224,0m,44.6720674845589,Placebo
4223,0m,55.8095941214228,Placebo
