"","x"
"1","Moraxella"
"2","Lautropia"
"3","Rothia"
"4","Aggregatibacter"
"5","ASV_62"
"6","Streptobacillus"
"7","Oribacterium"
"8","Treponema"
"9","ASV_205"
"10","ASV_209"
