"","OTU","diff.btw","diff.win","effect","wi.ep","wi.eBH","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","Veillonella",-0.662561944444471,2.39234260685322,-0.234447751884883,0.0017798088391716,0.037062983105997,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella",NA
"2","Lautropia",-1.42883593809201,5.20061571822123,-0.230436403788303,0.000189682769834361,0.00947595230022035,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",NA
"3","Rothia",-1.04471063838655,4.17031747499549,-0.184480794404401,0.00234343541189898,0.0448814790128002,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia",NA
"4","Moraxella",2.51641348239857,7.1804096786868,0.327504735768086,0.00085467634336896,0.0186078286499455,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",NA
"5","Aggregatibacter",2.82227504943642,8.23992763010248,0.377887723341773,2.69647468264669e-05,0.00223016723286027,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter",NA
