"","ASVs","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","Moraxella",132.233521104633,2.79632592385623e-06,0.00144269466447294,9.93596245530287e-06,0.00148045840584013
"2","Haemophilus",7067.64477404939,-0.674859321796512,0.35728612186998,0.000124353953679646,0.00926436954913366
"3","Veillonella",583.597096352982,-0.423609886749505,0.179620844394454,0.00052475636816488,0.0260628996188557
