"","num.reads","ASVs","max.props","detected"
"ASV_3646",2,"ASV_3646",0.000147525263701409,1
"ASV_3648",2,"ASV_3648",0.000142949038667715,1
"ASV_3457",2,"ASV_3457",8.33750208437552e-05,1
"ASV_3564",2,"ASV_3564",0.000116164256258349,1
"ASV_3440",2,"ASV_3440",0.000139674558279209,1
"ASV_3535",2,"ASV_3535",8.65576040855189e-05,1
"ASV_3394",2,"ASV_3394",9.20852709609098e-05,1
"ASV_3579",2,"ASV_3579",8.83470271225373e-05,1
"ASV_3634",2,"ASV_3634",0.000134327355766002,1
"ASV_3654",2,"ASV_3654",0.000146028037383178,1
"ASV_3431",2,"ASV_3431",0.00011090778018078,1
"ASV_3541",2,"ASV_3541",0.000122182173620869,1
"ASV_3374",2,"ASV_3374",8.48104486472733e-05,1
"ASV_3436",2,"ASV_3436",0.000153775180685837,1
"ASV_3477",2,"ASV_3477",7.40685875120361e-05,1
"ASV_3489",2,"ASV_3489",0.000106371662589086,1
"ASV_3502",2,"ASV_3502",9.89658073135732e-05,1
"ASV_3515",2,"ASV_3515",0.000150625094140684,1
"ASV_3615",2,"ASV_3615",0.000109787561069331,1
"ASV_3546",2,"ASV_3546",0.000166680556713059,1
"ASV_3498",2,"ASV_3498",0.000150262960180316,1
"ASV_3522",2,"ASV_3522",0.00012190661952944,1
"ASV_3560",2,"ASV_3560",0.000194269062651773,1
"ASV_3449",2,"ASV_3449",0.000113546042920404,1
"ASV_3619",2,"ASV_3619",0.0001434617315831,1
"ASV_3395",2,"ASV_3395",8.0768920119538e-05,1
"ASV_3406",2,"ASV_3406",0.000107642626480086,1
"ASV_3410",2,"ASV_3410",0.000107991360691145,1
"ASV_3420",2,"ASV_3420",0.000125054711436253,1
"ASV_3441",2,"ASV_3441",0.000166140554909453,1
"ASV_3445",2,"ASV_3445",0.000161890885543144,1
"ASV_3465",2,"ASV_3465",9.40556809631302e-05,1
"ASV_3524",2,"ASV_3524",0.000150387247161441,1
"ASV_3590",2,"ASV_3590",9.24513474783895e-05,1
"ASV_3618",2,"ASV_3618",0.000136323359007566,1
"ASV_3603",2,"ASV_3603",0.000189393939393939,1
"ASV_3409",2,"ASV_3409",0.000134743650205484,1
