"","num.reads","ASVs","max.props","detected"
"ASV_3391",2,"ASV_3391",9.53743443013829e-05,1
"ASV_2654",7,"ASV_2654",0.000410798122065728,1
"ASV_2882",5,"ASV_2882",0.00037656273535171,1
"ASV_2667",7,"ASV_2667",0.00032478077297824,1
"ASV_3237",3,"ASV_3237",0.000143232275005968,1
"ASV_2603",7,"ASV_2603",0.000500142897970849,1
"ASV_602",7,"ASV_602",0.000211693975189466,2
"ASV_3523",2,"ASV_3523",9.66043568564942e-05,1
"ASV_2778",6,"ASV_2778",0.000568181818181818,1
"ASV_2779",6,"ASV_2779",0.000568181818181818,1
"ASV_3540",2,"ASV_3540",0.000116016010209409,1
"ASV_2626",7,"ASV_2626",0.000285714285714286,1
"ASV_3046",4,"ASV_3046",0.00020730759264058,1
"ASV_2643",7,"ASV_2643",0.000365420755898935,1
"ASV_3053",4,"ASV_3053",0.000173115208171038,1
"ASV_3583",2,"ASV_3583",9.45447669471495e-05,1
"ASV_2922",5,"ASV_2922",0.000263449075293746,1
"ASV_3309",3,"ASV_3309",0.000122799836266885,1
"ASV_3429",2,"ASV_3429",0.000100593501659793,1
"ASV_3569",2,"ASV_3569",9.71298139964062e-05,1
"ASV_2606",7,"ASV_2606",0.000520523497917906,1
"ASV_2703",6,"ASV_2703",0.000340599455040872,1
"ASV_2714",6,"ASV_2714",0.00033101621979477,1
"ASV_2774",6,"ASV_2774",0.000199448193331782,1
"ASV_2996",4,"ASV_2996",0.00019933223700603,1
"ASV_3414",2,"ASV_3414",0.000188164455734312,1
"ASV_3664",2,"ASV_3664",8.36540070269366e-05,1
"ASV_2569",7,"ASV_2569",0.000374491761181254,1
"ASV_2638",7,"ASV_2638",0.000270259835527586,1
"ASV_3203",3,"ASV_3203",0.000210629783051323,1
"ASV_3260",3,"ASV_3260",0.000154352747478905,1
"ASV_3455",2,"ASV_3455",0.000122249388753056,1
"ASV_3519",2,"ASV_3519",9.70449803483915e-05,1
"ASV_3611",2,"ASV_3611",0.000141843971631206,1
"ASV_3181",3,"ASV_3181",0.000165864985901476,1
"ASV_3117",4,"ASV_3117",0.000185589013130423,1
"ASV_2785",6,"ASV_2785",0.000243704305442729,1
"ASV_2782",6,"ASV_2782",0.000314828418511911,1
"ASV_3047",4,"ASV_3047",0.000193208713712988,1
"ASV_3082",4,"ASV_3082",0.000261694471704285,1
"ASV_3329",3,"ASV_3329",8.78271561566837e-05,1
"ASV_3448",2,"ASV_3448",0.000134616679006529,1
"ASV_3474",2,"ASV_3474",0.000104128703077003,1
"ASV_3527",2,"ASV_3527",0.000145085237577077,1
"ASV_3273",3,"ASV_3273",0.000138677021217584,1
"ASV_3060",4,"ASV_3060",0.000163398692810458,1
"ASV_3601",2,"ASV_3601",0.000131053010942926,1
"ASV_2581",7,"ASV_2581",0.000296371565265253,1
"ASV_2640",7,"ASV_2640",0.000323579716174363,1
"ASV_2798",6,"ASV_2798",0.000362691168470048,1
"ASV_2985",4,"ASV_2985",0.000185408361917122,1
"ASV_3156",3,"ASV_3156",0.000150541951023685,1
"ASV_3297",3,"ASV_3297",0.000201491033649003,1
"ASV_3310",3,"ASV_3310",0.000186323830817962,1
"ASV_3452",2,"ASV_3452",0.000102822476993471,1
"ASV_3575",2,"ASV_3575",0.000157666535277887,1
"ASV_3588",2,"ASV_3588",0.000103637682661416,1
"ASV_2605",7,"ASV_2605",0.000426907361102641,1
"ASV_2710",6,"ASV_2710",0.000818442231619152,1
"ASV_2727",6,"ASV_2727",0.000265992818193909,1
"ASV_2836",5,"ASV_2836",0.000253832876434156,1
"ASV_2840",5,"ASV_2840",0.000262412091949197,1
"ASV_2859",5,"ASV_2859",0.000384437951714593,1
"ASV_2982",4,"ASV_2982",0.000290486564996369,1
"ASV_3004",4,"ASV_3004",0.000278164116828929,1
"ASV_3216",3,"ASV_3216",0.000170716439993171,1
"ASV_3292",3,"ASV_3292",0.000145482760292905,1
"ASV_3324",3,"ASV_3324",0.000170096955264501,1
"ASV_3616",2,"ASV_3616",9.979541939025e-05,1
"ASV_2571",7,"ASV_2571",0.000479912244618127,1
"ASV_2589",7,"ASV_2589",0.000503235082674335,1
"ASV_2608",7,"ASV_2608",0.000247489746853345,1
"ASV_2641",7,"ASV_2641",0.000428763934827882,1
"ASV_2704",6,"ASV_2704",0.000453240670796193,1
"ASV_2718",6,"ASV_2718",0.000366278005005799,1
"ASV_2754",6,"ASV_2754",0.000359023456199138,1
"ASV_2755",6,"ASV_2755",0.000402657539762432,1
"ASV_2788",6,"ASV_2788",0.000296091590998816,1
"ASV_2845",5,"ASV_2845",0.000206739714699194,1
"ASV_2861",5,"ASV_2861",0.000415351387273634,1
