feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Aggregatibacter	visit	Week 72	1.78376557973391	0.372936541289849	232	116	3.08520334711771e-06	0.000465865705414775
ASV_209	visit	Week 72	0.574522081784248	0.126997178047792	232	34	9.73112924598829e-06	0.000734700258072116
ASV_205	visit	Week 72	0.544542539456503	0.1278172250971	232	29	2.97760552637048e-05	0.00149872811493981
Streptococcus	visit	Week 72	-6.3280602646242	1.55793724968331	232	230	6.68103001801148e-05	0.00252208883179933
Moraxella	visit	Week 72	1.2647355764944	0.341359799255194	232	58	0.000264822092962119	0.00799762720745598
ASV_62	visit	Week 72	0.873291566519035	0.246634300488786	232	76	0.00048269911863333	0.0121479278189388
Oribacterium	visit	Week 72	-1.01103292964007	0.294682756336617	232	105	0.000712994336886278	0.0153803064099754
Atopobium	visit	Week 72	-0.57209139507715	0.177764538300065	232	59	0.00147561882328262	0.0278523052894594
Neisseria	visit	Week 72	4.05967456016694	1.31951394388633	232	207	0.00234716982444269	0.0321216077890426
Lautropia	visit	Week 72	-1.51480607340913	0.487438674981982	232	196	0.00212306410520582	0.0321216077890426
ASV_461	visit	Week 72	0.241694830905804	0.0792315070129998	232	9	0.0025527105527716	0.0321216077890426
ASV_540	visit	Week 72	-0.256501704728212	0.0836646139866732	232	13	0.0024302080170793	0.0321216077890426
Alloprevotella	visit	Week 72	2.17968703878332	0.751928734315723	232	97	0.00410838273406556	0.0477204456033769
Streptobacillus	visit	Week 72	0.601836769681234	0.219716010406191	232	60	0.00664238324745259	0.0716428478832387
ASV_187	visit	Week 72	0.298086439365001	0.11386888479875	232	15	0.00943717873079312	0.0950009325566507
Veillonella	visit	Week 72	-2.4116708773318	0.940640768408196	232	215	0.0109886366598487	0.103705258477322
ASV_163	visit	Week 72	-0.346936834789526	0.14061955364072	232	17	0.0143471988858998	0.127436884221816
Rothia	visit	Week 72	-1.71988294565941	0.718755126857776	232	203	0.0175209012879392	0.146980894137712
ASV_280	visit	Week 72	0.192056735713775	0.0812836737741033	232	6	0.0189711694358685	0.150449184258939
ASV_1272	visit	Week 72	-0.126351326247527	0.054269817422508	232	7	0.0207693425270083	0.150449184258939
ASV_1415	visit	Week 72	-0.109139654852061	0.0469343858645336	232	5	0.0209233964863425	0.150449184258939
ASV_180	visit	Week 72	-0.362152637251605	0.162006988234462	232	24	0.0263508574548137	0.180862703439858
Kingella	visit	Week 72	-0.429388736312513	0.194380037968376	232	20	0.0281600428560189	0.184876803098211
ASV_157	visit	Week 72	0.261786861395377	0.124265542248427	232	18	0.0362295942119049	0.219154170454754
ASV_331	visit	Week 72	-0.227136326122209	0.109576961575673	232	28	0.039300621903493	0.219154170454754
ASV_339	visit	Week 72	-0.185417341524545	0.0884051938922775	232	9	0.0370540443204067	0.219154170454754
ASV_767	visit	Week 72	-0.136245455201117	0.0658862746076986	232	4	0.0397690590492585	0.219154170454754
ASV_1398	visit	Week 72	-0.0856212327859491	0.041587502973755	232	4	0.0406378594220735	0.219154170454754
ASV_216	visit	Week 72	0.24459698707753	0.120536455000314	232	16	0.0435860983543142	0.219383361716715
Shuttleworthia	visit	Week 72	-0.223104448694478	0.109728616096593	232	14	0.0431769479296983	0.219383361716715
Peptostreptococcus	visit	Week 72	-0.346291839698199	0.173850853051739	232	93	0.0475657306696519	0.231691139713465
F0058	visit	Week 72	-0.379667998800027	0.193579246129349	232	61	0.0510500050950186	0.238951311598833
F0332	visit	Week 72	-0.156419097565622	0.0801565436043284	232	11	0.0522211475679568	0.238951311598833
Mobiluncus	visit	Week 72	0.0869464918442227	0.0449320749083494	232	4	0.0542084583433362	0.240749329701287
Solobacterium	visit	Week 72	0.363983957155029	0.191317804560775	232	89	0.0583536622943865	0.251754371612925
ASV_283	visit	Week 72	-0.167374291577496	0.0901461283462635	232	12	0.0646325335695355	0.267050730677168
Comamonas	visit	Week 72	0.291036002431873	0.15722273089839	232	11	0.0654362717553327	0.267050730677168
Filifactor	visit	Week 72	0.137921588371128	0.0755795578295564	232	13	0.0693203693427819	0.275457257125265
Enterococcus	visit	Week 72	-0.145282422447863	0.080375768862161	232	3	0.0719846076037465	0.278709634568352
Mycoplasma	visit	Week 72	-0.25644888093804	0.144522220408145	232	33	0.0773099204086544	0.29184494954267
Campylobacter	visit	Week 72	0.51657704969029	0.294181764747393	232	154	0.080422991974579	0.294235672441701
Candidatus_Saccharimonas	visit	Week 72	-0.29832241413537	0.170688613056524	232	57	0.0818403857122613	0.294235672441701
Actinobacillus	visit	Week 72	1.08064112334304	0.632894372061054	232	121	0.0890862098173069	0.312837620521241
ASV_508	visit	Week 72	0.0755619027987035	0.0449782888063641	232	3	0.0943220494863994	0.316502877165474
ASV_1054	visit	Week 72	-0.0982927476663852	0.0584547516995117	232	6	0.0940195302429946	0.316502877165474
Actinomyces	visit	Week 72	-0.951094550443451	0.57033168638183	232	189	0.0967528007370562	0.316771271187469
ASV_894	visit	Week 72	0.0889357372354772	0.0536991048590543	232	3	0.0990476495996541	0.316771271187469
Acinetobacter	visit	Week 72	-0.176934070518319	0.107355761409939	232	9	0.100695503423831	0.316771271187469
Fusobacterium	visit	Week 72	1.17567623900299	0.718488771501354	232	119	0.103140621606219	0.317841507398755
ASV_561	visit	Week 72	0.0688783913813678	0.0427315844704723	232	3	0.108358356659079	0.327242237110419
ASV_1235	visit	Week 72	-0.0401106284039285	0.0256903084186139	232	2	0.119824646936228	0.354774935046478
Psychrobacter	visit	Week 72	-0.133100795406339	0.0868377054455673	232	5	0.126710931507235	0.367949051107549
