"Estimate","Std..Error","t.value","Pr...t.."
"phi.(Intercept)",-3.67146657411991,0.122697008607352,-29.9230324829607,3.38272926534315e-92
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.14635732993251,0.958820256306114,-6.41033320844884,5.60056035469881e-10
"mu.trial_armPlacebo",-1.59805151152683,1.0961722523889,-1.45784707471311,0.145925246603668
"phi.(Intercept)",-0.485299366667493,0.991057490892228,-0.489678319499495,0.624718227175273
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.47299157726119,0.278419963803877,-23.2490209711429,3.63013038340163e-69
"mu.trial_armPlacebo",0.720983571153458,0.221627512856128,3.25313207670878,0.0012712151080794
"phi.(Intercept)",-3.18735854311549,0.262845405562466,-12.1263620198908,7.96452818533089e-28
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-5.47201628474662,0.106008621724128,-51.618596636288,1.44326604934543e-151
"mu.trial_armPlacebo",-0.165977477922048,0.120408887684983,-1.3784487267774,0.169088451806131
"phi.(Intercept)",-4.63424385140384,0.120195130212208,-38.5560034189569,1.82339589172739e-118
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.27282451000697,0.181475748513122,-34.5656351407935,8.26521327909447e-107
"mu.trial_armPlacebo",-0.255790356289914,0.170927456333882,-1.49648489351099,0.135575132885979
"phi.(Intercept)",-4.26046443803405,0.192445323869604,-22.1385708541343,4.02232098897836e-65
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.30755552237396,0.382698161451511,-16.4818025214713,6.08984620036292e-44
"mu.trial_armPlacebo",-0.38346188970545,0.306919190150711,-1.24939039985461,0.212492982389838
"phi.(Intercept)",-2.73053599828679,0.395397537018842,-6.90579920875093,2.97018541742115e-11
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.07609288790052,0.159253731231373,-38.1535354991013,2.51402417828796e-117
"mu.trial_armPlacebo",-0.420211389398138,0.165054760307298,-2.54589076144058,0.0113983149695677
"phi.(Intercept)",-4.39566185168058,0.175063218184,-25.1089971798675,8.15247711413619e-76
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.77084312946363,1.49005785782084,-5.21512845201073,3.42258646389624e-07
"mu.trial_armPlacebo",-21.378287542449,25493.3341070462,-0.000838583429404792,0.999331462800501
"phi.(Intercept)",-1.76890506692742,1.59349365420464,-1.11007976860148,0.267850683912112
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.12609609129009,0.617285227567318,-13.1642484355482,1.43577335807364e-31
"mu.trial_armPlacebo",0.345794765703174,0.464770531388639,0.744011813033865,0.457449731918382
"phi.(Intercept)",-3.36683928708791,0.607595859785455,-5.5412479082342,6.56130653683436e-08
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.08244851747667,0.230588080251351,-26.3779832454763,2.97591511706663e-80
"mu.trial_armPlacebo",-0.120575336626823,0.19595241978154,-0.615329664013581,0.538801974561364
"phi.(Intercept)",-3.50273170625813,0.237480450497688,-14.7495581169627,1.98282780231148e-37
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.10048433431805,0.307184194323485,-23.1147450472037,1.11213186711367e-68
"mu.trial_armPlacebo",1.08448362543548,0.247017705326856,4.39030726158064,1.56886515136617e-05
"phi.(Intercept)",-3.4804987365237,0.275318157688534,-12.6417333522229,1.13062832031355e-29
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.05425265550323,0.152312839314124,-39.7488004475917,8.50698838835097e-122
"mu.trial_armPlacebo",-0.730037308176505,0.165521629219212,-4.41052514780208,1.43738921633547e-05
"phi.(Intercept)",-4.5248937502774,0.171985461178441,-26.3097457149745,5.13016065680999e-80
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.78439783594596,0.723151735514536,-10.7645428388652,4.466563197407e-23
"mu.trial_armPlacebo",0.449452316522908,0.527276029898178,0.852404226700201,0.394667496862163
"phi.(Intercept)",-2.61291727834925,0.702650604881562,-3.71865797908147,0.000238841148264153
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.76478601629694,0.195394274011264,-34.6212090939111,5.61456337185638e-107
"mu.trial_armPlacebo",0.068261553284664,0.179803718321641,0.379644836724425,0.704476784051565
"phi.(Intercept)",-4.5260361502077,0.201467493208976,-22.4653420664394,2.56368734024743e-66
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.44600457797551,0.138428469976109,-46.5655986740877,1.35132825208966e-139
"mu.trial_armPlacebo",-0.502092694625106,0.154093824956243,-3.25835700922917,0.0012488270010897
"phi.(Intercept)",-5.09610074242532,0.157241251096685,-32.4094390427598,3.62449530144934e-100
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.20750746858953,1.08190118996339,-6.66189069339446,1.28527920115383e-10
"mu.trial_armPlacebo",-0.676898423163593,0.866424375318946,-0.781255055196727,0.435266533624559
"phi.(Intercept)",-1.45688819593911,1.1117180759789,-1.31048350064496,0.191031389248312
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.25029487628351,0.942828240224287,-6.62930384308031,1.55877902807112e-10
"mu.trial_armPlacebo",0.029304111010304,0.817963459923711,0.0358256969242087,0.97144508984315
"phi.(Intercept)",0.00697754176611149,0.887280010176179,0.00786396817925158,0.99373073527295
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.00899973232787,0.426985540625132,-16.4150751382969,1.0878039362207e-43
"mu.trial_armPlacebo",0.140596172812653,0.325073932642471,0.432505220181055,0.665683962956182
"phi.(Intercept)",-3.05535130612993,0.42728708084816,-7.15058199294276,6.58477606201764e-12
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.95772549929732,0.189996790637644,-36.6202264572294,6.52999111086333e-113
"mu.trial_armPlacebo",-0.312733115390744,0.186452348714678,-1.67728171592684,0.094525487121849
"phi.(Intercept)",-4.88983635237798,0.204624392916703,-23.8966443964894,1.68378027908339e-71
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-6.96122206358355,0.731897202931997,-9.5112018951524,6.31060553007833e-19
"mu.trial_armPlacebo",0.441926383700368,0.52759880611939,0.83761824055448,0.40290973125259
"phi.(Intercept)",-1.64734835452147,0.704778462427827,-2.33739883146637,0.0200737555355105
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.821047080623,0.185082398289958,-42.2571090113617,1.38853602998169e-128
"mu.trial_armPlacebo",0.0699398039523714,0.185328854717818,0.37738216242075,0.706155565507578
"phi.(Intercept)",-5.76632797394548,0.195550190213992,-29.4877134490913,9.10542365837381e-91
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.4208728884058,0.16318162538001,-45.4761549967675,6.9435907508712e-137
"mu.trial_armPlacebo",0.0364450009102922,0.167412392785758,0.217695956098853,0.827813515567251
"phi.(Intercept)",-5.63634019382226,0.174222609245743,-32.3513705725308,5.51517204052284e-100
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.22066060530399,0.241473791396208,-29.9024608987748,3.95014028034162e-92
"mu.trial_armPlacebo",-0.591904114789167,0.23574011612957,-2.51083321967925,0.012568649989346
"phi.(Intercept)",-4.71838843146863,0.262218650179368,-17.9940993069756,1.17554661880056e-49
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.57655667361908,0.747854726411404,-11.4682121683898,1.67079946448776e-25
"mu.trial_armPlacebo",1.98711173778119,0.619324978408559,3.20851218190384,0.00147814024010583
"phi.(Intercept)",-2.71111467948782,0.55922169045904,-4.84801416994822,2.00167168644964e-06
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.80064300474023,0.618268295287274,-14.2343430381645,1.64481438867049e-35
"mu.trial_armPlacebo",0.984811749972765,0.483114004503013,2.03846657474949,0.0423770024384858
"phi.(Intercept)",-3.80821001773498,0.563118975525086,-6.76270945084736,7.04614590172294e-11
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.56045888179301,0.48242314112585,-15.671841247393,6.89386409320062e-41
"mu.trial_armPlacebo",-0.654039600897606,0.412318744612544,-1.58624755591019,0.113733106209902
"phi.(Intercept)",-3.63568719237447,0.50868650970444,-7.14720583898892,6.72464953279661e-12
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-26.6734996406272,20144.0543017093,-0.00132413759619204,0.998944368498326
"mu.trial_armPlacebo",20.5523932388256,20144.0542885681,0.00102027094170855,0.999186617555676
"phi.(Intercept)",0.624576666799217,1.27762969466176,0.488855784589891,0.62529979519968
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.29159699247971,0.4008285331177,-18.1913122196283,2.11682283755897e-50
"mu.trial_armPlacebo",-0.598172118086891,0.34704400399476,-1.72362038012886,0.0858032476955973
"phi.(Intercept)",-3.73032411115888,0.423205385847432,-8.81445330306756,9.83120733070688e-17
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.85268053662387,0.563257808123281,-13.9415387117104,2.00011775789315e-34
"mu.trial_armPlacebo",-0.0690403950868109,0.437034248315531,-0.157974793401008,0.874582587378572
"phi.(Intercept)",-3.43435101889498,0.573691871034835,-5.98640348990833,6.09689830906096e-09
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.3113308336043,0.821006598791048,-11.3413593110158,4.62325309976364e-25
"mu.trial_armPlacebo",1.37052683339297,0.651425618908353,2.10388844652697,0.0362175463368664
"phi.(Intercept)",-3.57175952068556,0.700643351579753,-5.09782832111695,6.08365785801071e-07
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.37700352473564,0.435456818918637,-19.2372771783391,2.43110260358054e-54
"mu.trial_armPlacebo",2.18284591222706,0.378538243763802,5.76651355097717,2.00574947059953e-08
"phi.(Intercept)",-3.64563935783247,0.306647813290616,-11.8886853250684,5.55729405575991e-27
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.59018051820126,0.493238300204155,-15.3884654031522,8.01393487269786e-40
"mu.trial_armPlacebo",-0.580658919810455,0.416750356166937,-1.39330155623877,0.164556636468325
